Timestamp,Topic,Message
2024-07-05 16:45:23,Motion,Not Detected
2024-07-05 16:45:26,Motion,Not Detected
2024-07-05 16:45:29,Motion,Not Detected
2024-07-05 16:45:35,Motion,Not Detected
2024-07-05 16:45:41,Motion,Not Detected
2024-07-05 16:45:44,Motion,Not Detected
2024-07-05 16:45:47,Motion,Not Detected
2024-07-05 16:45:50,Motion,Not Detected
2024-07-05 16:45:53,Motion,Not Detected
2024-07-05 16:45:56,Motion,Not Detected
2024-07-05 16:46:05,Motion,Detected
2024-07-05 16:46:11,Motion,Not Detected
2024-07-05 16:46:14,Motion,Not Detected
2024-07-05 16:46:17,Motion,Not Detected
2024-07-05 16:46:20,Motion,Not Detected
2024-07-05 16:46:23,Motion,Not Detected
2024-07-05 16:46:29,Motion,Not Detected
2024-07-05 16:46:35,Motion,Not Detected
2024-07-05 16:46:38,Motion,Not Detected
2024-07-05 16:46:41,Motion,Detected
2024-07-05 16:46:44,Motion,Not Detected
2024-07-05 16:46:50,Motion,Not Detected
2024-07-05 16:46:56,Motion,Not Detected
2024-07-05 16:46:59,Motion,Not Detected
2024-07-05 16:47:02,Motion,Detected
2024-07-05 16:47:05,Motion,Not Detected
2024-07-05 16:47:08,Motion,Not Detected
2024-07-05 16:47:11,Motion,Not Detected
2024-07-05 16:47:20,Motion,Detected
2024-07-05 16:47:29,Motion,Not Detected
2024-07-05 16:47:32,Motion,Not Detected
2024-07-05 16:47:35,Motion,Not Detected
2024-07-05 16:47:41,Motion,Not Detected
2024-07-05 16:47:47,Motion,Detected
2024-07-05 16:47:50,Motion,Not Detected
2024-07-05 16:47:56,Motion,Not Detected
2024-07-05 16:48:02,Motion,Not Detected
2024-07-05 16:48:05,Motion,Detected
2024-07-05 16:48:08,Motion,Not Detected
2024-07-05 16:48:11,Motion,Not Detected
2024-07-05 16:48:17,Motion,Not Detected
2024-07-05 16:48:23,Motion,Not Detected
2024-07-05 16:48:26,Motion,Not Detected
2024-07-05 16:48:29,Motion,Not Detected
2024-07-05 16:48:32,Motion,Not Detected
2024-07-05 16:48:35,Motion,Not Detected
2024-07-05 16:48:41,Motion,Not Detected
2024-07-05 16:48:44,Motion,Not Detected
2024-07-05 16:48:50,Motion,Detected
2024-07-05 16:48:53,Motion,Not Detected
2024-07-05 16:49:02,Motion,Detected
2024-07-05 16:49:05,Motion,Not Detected
2024-07-05 16:49:14,Motion,Not Detected
2024-07-05 16:49:17,Motion,Detected
2024-07-05 16:49:20,Motion,Not Detected
2024-07-05 16:49:23,Motion,Not Detected
2024-07-05 16:49:26,Motion,Not Detected
2024-07-05 16:49:29,Motion,Not Detected
2024-07-05 16:49:32,Motion,Not Detected
2024-07-05 16:49:35,Motion,Not Detected
2024-07-05 16:49:38,Motion,Not Detected
2024-07-05 16:49:41,Motion,Not Detected
2024-07-05 16:49:44,Motion,Not Detected
2024-07-05 16:49:47,Motion,Not Detected
2024-07-05 16:49:50,Motion,Not Detected
2024-07-05 16:49:59,Motion,Not Detected
2024-07-05 16:50:02,Motion,Detected
2024-07-05 16:50:05,Motion,Not Detected
2024-07-05 16:50:08,Motion,Not Detected
2024-07-05 16:50:11,Motion,Not Detected
2024-07-05 16:50:14,Motion,Not Detected
2024-07-05 16:50:20,Motion,Not Detected
2024-07-05 16:50:23,Motion,Not Detected
2024-07-05 16:50:26,Motion,Not Detected
2024-07-05 16:50:35,Motion,Detected
2024-07-05 16:50:38,Motion,Not Detected
2024-07-05 16:50:44,Motion,Not Detected
2024-07-05 16:50:47,Motion,Not Detected
2024-07-05 16:50:50,Motion,Not Detected
2024-07-05 16:50:59,Motion,Not Detected
2024-07-05 16:51:02,Motion,Not Detected
2024-07-05 16:51:05,Motion,Detected
2024-07-05 16:51:08,Motion,Not Detected
2024-07-10 22:58:18,Motion,Not Detected
2024-07-10 22:58:27,Motion,Not Detected
2024-07-10 22:58:30,Motion,Detected
2024-07-10 22:58:39,Motion,Detected
2024-07-10 22:58:48,Motion,Detected
2024-07-10 22:58:57,Motion,Detected
2024-07-10 22:59:03,Motion,Not Detected
2024-07-10 22:59:09,Motion,Detected
2024-07-10 22:59:18,Motion,Detected
2024-07-10 22:59:27,Motion,Detected
2024-07-10 22:59:30,Motion,Not Detected
2024-07-10 22:59:39,Motion,Not Detected
2024-07-10 22:59:42,Motion,Detected
2024-07-10 22:59:45,Motion,Not Detected
2024-07-10 22:59:48,Motion,Not Detected
2024-07-10 22:59:51,Motion,Not Detected
2024-07-10 23:00:00,Motion,Not Detected
2024-07-10 23:00:03,Motion,Detected
2024-07-10 23:00:06,Motion,Not Detected
2024-07-10 23:00:12,Motion,Not Detected
2024-07-10 23:00:18,Motion,Detected
2024-07-10 23:00:21,Motion,Not Detected
2024-07-10 23:00:30,Motion,Not Detected
2024-07-10 23:00:33,Motion,Detected
2024-07-10 23:00:39,Motion,Not Detected
2024-07-10 23:00:45,Motion,Detected
2024-07-10 23:00:54,Motion,Not Detected
2024-07-10 23:00:57,Motion,Not Detected
2024-07-10 23:01:00,Motion,Detected
2024-07-10 23:01:06,Motion,Not Detected
2024-07-10 23:01:09,Motion,Not Detected
2024-07-10 23:01:12,Motion,Not Detected
2024-07-10 23:01:15,Motion,Not Detected
2024-07-10 23:01:18,Motion,Not Detected
2024-07-10 23:01:27,Motion,Not Detected
2024-07-10 23:01:30,Motion,Not Detected
2024-07-10 23:01:33,Motion,Not Detected
2024-07-10 23:01:36,Motion,Not Detected
2024-07-10 23:01:45,Motion,Not Detected
2024-07-10 23:01:48,Motion,Detected
2024-07-10 23:01:51,Motion,Not Detected
2024-07-10 23:01:57,Motion,Not Detected
2024-07-10 23:02:03,Motion,Detected
2024-07-10 23:02:12,Motion,Detected
2024-07-10 23:02:18,Motion,Not Detected
2024-07-10 23:02:24,Motion,Detected
2024-07-10 23:02:33,Motion,Detected
